path,size,owner,mtime,campaign,status,reason,recoverability,recommended_action
outputs/01_training_runs/S1b_robust_dino256_b4096_lr2e-4_wu2_e15,107439552_KiB,nobody,2026-07-10T13:40:21,s1b,ARCHIVE,"pre-HS6 recipe superseded by S6/HS6",only_from_checkpoint_or_external_backup,"whitelist cited checkpoint then request approval"
outputs/01_training_runs/S2b_robust_biosafe256_b4096_lr2e-4_wu2_e15,107439600_KiB,nobody,2026-07-09T15:53:58,s2b,ARCHIVE,"pre-HS6 recipe superseded by S6/HS6",only_from_checkpoint_or_external_backup,"whitelist cited checkpoint then request approval"
outputs/01_training_runs/S2b_robust_biosafe256_b4096_lr2e-4_wu5_e15,107442640_KiB,nobody,2026-07-09T15:55:01,s2b_wu5,ARCHIVE,"pre-HS6 warmup ablation",only_from_checkpoint_or_external_backup,"keep metrics/config; remove checkpoints only after approval"
outputs/01_training_runs/S3b_robust_biosafe224_b4096_lr2e-4_wu2_e15,108863904_KiB,nobody,2026-07-10T14:11:40,s3b,ARCHIVE,"pre-HS6 recipe superseded by S6/HS6",only_from_checkpoint_or_external_backup,"whitelist cited checkpoint then request approval"
outputs/01_training_runs/M4_residual_mc_v2_from_S6b_ck5199_e10,14378704_KiB,nobody,2026-07-11T13:59:27,m4_residual_mc,ARCHIVE,"multichannel side branch underperforms RGB route in final NCI decision",only_from_checkpoint_or_external_backup,"keep final comparator only after approval"
outputs/01_training_runs/nri_hs0_rgb_l_e15_gb1024_8x5090local_20260821,10509452_KiB,nobody,2026-08-21T20:18:57,nri_full_l,ARCHIVE,"NRI has large regression/retrieval and mostly dense regressions",only_from_checkpoint_or_external_backup,"keep config metrics and optional final checkpoint"
outputs/01_training_runs/nci_vitl_coverage_u128_8x3090qi_20260818,13789980_KiB,nobody,2026-08-18T01:38:12,nci_coverage_train,ARCHIVE,"NCI stopped by final decision",only_from_checkpoint_or_external_backup,"keep config metrics and one cited checkpoint"
outputs/01_training_runs/nci_vitl_core_3090qi_20260817,13788568_KiB,nobody,2026-08-17T20:40:13,nci_core_train,ARCHIVE,"early NCI screen superseded by corrected full-budget decision",only_from_checkpoint_or_external_backup,"keep decision evidence; prune checkpoints after approval"
"outputs/01_training_runs/{nci_*,martingale_nci*,mci_*}",149266340_KiB,nobody,2026-08,nci_family_all_training,ARCHIVE_GROUP,"stopped family; aggregate includes individually listed roots",only_from_checkpoint_or_external_backup,"build checkpoint whitelist; never delete by glob"
outputs/01_training_runs/nri_*,13989788_KiB,nobody,2026-08,nri_family_all_training,ARCHIVE_GROUP,"rejected NRI family; aggregate includes individually listed root",only_from_checkpoint_or_external_backup,"build checkpoint whitelist; never delete by glob"
"outputs/01_training_runs/{cmgi_*,dcgi_*}",106904416_KiB,nobody,2026-08,conditional_graph_family,ARCHIVE_GROUP,"selection fails density-matched control",only_from_checkpoint_or_external_backup,"preserve decisions and cited checkpoint; request approval"
"outputs/01_training_runs/{dbi_*,atpa_*}",30837072_KiB,nobody,2026-08,early_mechanism_screens,ARCHIVE_GROUP,"early screens superseded by later controlled negative experiments",only_from_checkpoint_or_external_backup,"preserve cited evidence; request approval"
"outputs/01_training_runs/{scout_*,sgst_*,smoke*_HS6_L_scout*}",146776304_KiB,nobody,2026-08,scout_sgst_family,MIXED_KEEP_ARCHIVE,"contains both failed variants and evidence used by active SKDT",only_from_checkpoint_or_external_backup,"never delete by glob; whitelist per cited checkpoint"
outputs/02_eval_runs/20260707_cpu1_mc_chammi_5models,unknown,nobody,2026-07,legacy_mc_chammi,RUNNING_BLOCKED,"live 65-day process uses batch16 fp16 and forbidden CHAMMI task3/task4",unknown,"do not delete; inspect and stop only with user approval"
outputs/02_eval_runs/ctc_rxrx3_hs6_scaling_quickscreen_3090qi_20260911,4316_KiB,nobody,2026-09-11,ctc_rxrx3_quickscreen,OBSERVATIONAL,"CTC count proxy and RxRx3 128-gene batch4 do not satisfy v3",small_unique_results,"keep as diagnostic; exclude aggregate"
outputs/02_eval_runs/ctc_rxrx3_hs6_ckpt_sweep_3090qi_20260911,1040_KiB,nobody,2026-09-11,ctc_rxrx3_ckpt_sweep,OBSERVATIONAL,"same quick-screen protocol limitations",small_unique_results,"keep as diagnostic; exclude aggregate"
